id,gbifID,file_name,license
199,3455222803,Conopidae_Physocephala_tibialis_1145408_3455222803,http://creativecommons.org/licenses/by-nc/4.0/
1212,3124751301,Conopidae_Thecophora_atra_1666530_3124751301,http://creativecommons.org/licenses/by-nc/4.0/
1213,3124751301,Conopidae_Thecophora_atra_1666531_3124751301,http://creativecommons.org/licenses/by-nc/4.0/
1214,3124751301,Conopidae_Thecophora_atra_1666532_3124751301,http://creativecommons.org/licenses/by-nc/4.0/
3313,3455849128,Conopidae_Conops_ceriaeformis_1148793_3455849128,http://creativecommons.org/licenses/by-nc/4.0/
3314,3455849128,Conopidae_Conops_ceriaeformis_1148794_3455849128,http://creativecommons.org/licenses/by-nc/4.0/
3315,3455849128,Conopidae_Conops_ceriaeformis_1148795_3455849128,http://creativecommons.org/licenses/by-nc/4.0/
3316,3455849128,Conopidae_Conops_ceriaeformis_1148796_3455849128,http://creativecommons.org/licenses/by-nc/4.0/
3317,3455849128,Conopidae_Conops_ceriaeformis_1148797_3455849128,http://creativecommons.org/licenses/by-nc/4.0/
3318,3455849128,Conopidae_Conops_ceriaeformis_1148798_3455849128,http://creativecommons.org/licenses/by-nc/4.0/
4100,3860007017,Conopidae_Physocephala_biguttata_1961983_3860007017,http://creativecommons.org/licenses/by-nc/4.0/
4974,3307468382,Conopidae_Dalmannia_aculeata_3051668_3307468382,http://creativecommons.org/licenses/by-nc/4.0/
5432,3873706861,Conopidae_Physocephala_tibialis_1970397_3873706861,http://creativecommons.org/licenses/by/4.0/
5847,1640042951,Conopidae_Conops_flavipes_2810726_1640042951,http://creativecommons.org/licenses/by-nc-nd/4.0/
6233,2405215447,Conopidae_Conops_quadrifasciatus_2911778_2405215447,© All rights reserved
6234,2405215447,Conopidae_Conops_quadrifasciatus_2911779_2405215447,© All rights reserved
6374,1933265624,Conopidae_Sicus_ferrugineus_2153632_1933265624,© All rights reserved
6425,3866287313,Conopidae_Conops_flavipes_2655238_3866287313,© All rights reserved
6969,2406452201,Conopidae_Conops_strigatus_843718_2406452201,http://creativecommons.org/licenses/by/4.0/
6970,2406452201,Conopidae_Conops_strigatus_843719_2406452201,http://creativecommons.org/licenses/by/4.0/
7582,2251955959,Conopidae_Melanosoma_bicolor_2211382_2251955959,http://creativecommons.org/licenses/by-nc/4.0/
8083,2331902609,Conopidae_Conops_flavipes_2216763_2331902609,http://creativecommons.org/licenses/by-nc/4.0/
8346,3109009250,Conopidae_Conops_vesicularis_2350771_3109009250,http://creativecommons.org/licenses/by-nc/4.0/
8557,4018127613,Conopidae_Conops_flavipes_1369051_4018127613,http://creativecommons.org/licenses/by/4.0/
9504,3773553166,Conopidae_Myopa_testacea_552403_3773553166,http://creativecommons.org/licenses/by-nc/4.0/
10445,3858599659,Conopidae_Zodion_caesium_3335793_3858599659,http://creativecommons.org/licenses/by-nc/4.0/
11368,3335091821,Conopidae_Physocephala_rufipes_996117_3335091821,http://creativecommons.org/licenses/by-nc/4.0/
11930,3031865608,Conopidae_Physocephala_chrysorrhoea_266646_3031865608,http://creativecommons.org/licenses/by-nc/4.0/
11931,3031865608,Conopidae_Physocephala_chrysorrhoea_266647_3031865608,http://creativecommons.org/licenses/by-nc/4.0/
11932,3031865608,Conopidae_Physocephala_chrysorrhoea_266648_3031865608,http://creativecommons.org/licenses/by-nc/4.0/
12140,3044837809,Conopidae_Conops_ceriaeformis_3028676_3044837809,http://creativecommons.org/licenses/by-nc/4.0/
12141,3044837809,Conopidae_Conops_ceriaeformis_3028677_3044837809,http://creativecommons.org/licenses/by-nc/4.0/
12196,3031960512,Conopidae_Conops_vitellinus_267116_3031960512,http://creativecommons.org/licenses/by-nc/4.0/
13163,1989783825,Conopidae_Leopoldius_signatus_820634_1989783825,http://creativecommons.org/licenses/by/4.0/
13164,1989783825,Conopidae_Leopoldius_signatus_820635_1989783825,http://creativecommons.org/licenses/by/4.0/
13165,1989783825,Conopidae_Leopoldius_signatus_820636_1989783825,http://creativecommons.org/licenses/by/4.0/
13166,1989783825,Conopidae_Leopoldius_signatus_820637_1989783825,http://creativecommons.org/licenses/by/4.0/
13167,1989783825,Conopidae_Leopoldius_signatus_820638_1989783825,http://creativecommons.org/licenses/by/4.0/
13168,1989783825,Conopidae_Leopoldius_signatus_820639_1989783825,http://creativecommons.org/licenses/by/4.0/
13212,1989782118,Conopidae_Conops_quadrifasciatus_128441_1989782118,http://creativecommons.org/licenses/by/4.0/
15266,3456364473,Conopidae_Physocephala_tibialis_1840758_3456364473,http://creativecommons.org/licenses/by-nc/4.0/
15375,3058725531,Conopidae_Physocephala_vittata_271140_3058725531,http://creativecommons.org/licenses/by/4.0/
15376,3058725531,Conopidae_Physocephala_vittata_271141_3058725531,http://creativecommons.org/licenses/by/4.0/
15377,3058725531,Conopidae_Physocephala_vittata_271142_3058725531,http://creativecommons.org/licenses/by/4.0/
15378,3058725531,Conopidae_Physocephala_vittata_271143_3058725531,http://creativecommons.org/licenses/by/4.0/
15379,3058725531,Conopidae_Physocephala_vittata_271144_3058725531,http://creativecommons.org/licenses/by/4.0/
16988,3860300681,Conopidae_Physocephala_biguttata_585052_3860300681,http://creativecommons.org/licenses/by-nc/4.0/
17707,3988542539,Conopidae_Conops_flavipes_2729391_3988542539,http://creativecommons.org/licenses/by/4.0/
17710,3988542539,Conopidae_Conops_flavipes_2729394_3988542539,http://creativecommons.org/licenses/by/4.0/
17898,2873955585,Conopidae_Physocephala_tibialis_938114_2873955585,http://creativecommons.org/licenses/by-nc/4.0/
19518,3337404049,Conopidae_Physocephala_rufipes_308490_3337404049,http://creativecommons.org/licenses/by-nc/4.0/
20322,3925000444,Conopidae_Physocephala_tibialis_2025085_3925000444,http://creativecommons.org/licenses/by-nc/4.0/
21069,3330661454,Conopidae_Sicus_ferrugineus_1680952_3330661454,http://creativecommons.org/licenses/by/4.0/
21355,2992737422,Conopidae_Physocephala_rufipes_1637006_2992737422,http://creativecommons.org/licenses/by-nc/4.0/
21360,3330627831,Conopidae_Conops_quadrifasciatus_2370835_3330627831,http://creativecommons.org/publicdomain/zero/1.0/
21453,2465146274,Conopidae_Physocephala_tibialis_164521_2465146274,http://creativecommons.org/licenses/by-nc/4.0/
24775,2406477649,Conopidae_Conops_strigatus_2912079_2406477649,© All rights reserved
24776,2406477649,Conopidae_Conops_strigatus_2912080_2406477649,© All rights reserved
24777,2406477649,Conopidae_Conops_strigatus_2912081_2406477649,© All rights reserved
24827,3329815388,Conopidae_Conops_quadrifasciatus_3059928_3329815388,© All rights reserved
